cluster	id	name
cluster_001	JASPAR_vertebrates_CORE_MA0610.2_n256,JASPAR_vertebrates_CORE_MA1478.2_n258,JASPAR_vertebrates_CORE_MA1479.2_n259,JASPAR_vertebrates_CORE_MA1707.2_n257,JASPAR_vertebrates_CORE_MA0111.1_n744,JASPAR_vertebrates_CORE_MA0631.2_n852,JASPAR_vertebrates_CORE_MA0782.3_n562,JASPAR_vertebrates_CORE_MA1114.2_n558,JASPAR_vertebrates_CORE_MA0498.3_n481,JASPAR_vertebrates_CORE_MA0774.1_n66,JASPAR_vertebrates_CORE_MA0775.2_n484,JASPAR_vertebrates_CORE_MA1592.2_n705,JASPAR_vertebrates_CORE_MA1928.2_n230,JASPAR_vertebrates_CORE_MA0835.3_n225,JASPAR_vertebrates_CORE_MA1988.2_n763,JASPAR_vertebrates_CORE_MA0462.3_n223,JASPAR_vertebrates_CORE_MA1634.2_n222,JASPAR_vertebrates_CORE_MA1101.3_n216,JASPAR_vertebrates_CORE_MA0476.2_n333,JASPAR_vertebrates_CORE_MA0489.3_n767,JASPAR_vertebrates_CORE_MA1132.2_n449,JASPAR_vertebrates_CORE_MA1142.2_n347,JASPAR_vertebrates_CORE_MA1134.2_n337,JASPAR_vertebrates_CORE_MA1144.2_n354,JASPAR_vertebrates_CORE_MA1135.2_n343,JASPAR_vertebrates_CORE_MA1138.2_n352,JASPAR_vertebrates_CORE_MA1128.2_n345,JASPAR_vertebrates_CORE_MA1141.2_n340,JASPAR_vertebrates_CORE_MA1137.2_n346,JASPAR_vertebrates_CORE_MA0099.4_n335,JASPAR_vertebrates_CORE_MA1130.2_n350,JASPAR_vertebrates_CORE_MA1633.2_n170,JASPAR_vertebrates_CORE_MA0655.1_n35,JASPAR_vertebrates_CORE_MA0477.3_n344,JASPAR_vertebrates_CORE_MA0490.3_n339,JASPAR_vertebrates_CORE_MA0491.3_n342,JASPAR_vertebrates_CORE_MA0478.2_n349,JASPAR_vertebrates_CORE_MA0841.2_n472,JASPAR_vertebrates_CORE_MA1520.2_n470,JASPAR_vertebrates_CORE_MA1521.2_n473,JASPAR_vertebrates_CORE_MA0496.4_n215,JASPAR_vertebrates_CORE_MA0089.3_n475,JASPAR_vertebrates_CORE_MA0150.3_n821,JASPAR_vertebrates_CORE_MA0501.2_n471,JASPAR_vertebrates_CORE_MA0591.2_n766,JASPAR_vertebrates_CORE_MA0659.4_n811	DMRT3,DMRTA2,DMRTC2,DMRTA1,Spz1,Six3,PKNOX1,PBX3,MEIS1,MEIS2,MEIS3,ZNF274,BNC2,BATF3,Atf3,BATF::JUN,BATF,BACH2,FOS,Jun,JUN::JUNB,FOSL1::JUND,FOS::JUNB,FOSL2::JUND,FOSB::JUNB,FOSL2::JUNB,FOSL1::JUN,FOS::JUND,FOSL1::JUNB,FOS::JUN,FOSL2::JUN,BACH1,JDP2,FOSL1,JUNB,JUND,FOSL2,NFE2,MAF,MAFA,MAFK,MAFG::NFE2L1,Nfe2l2,MAF::NFE2,Bach1::Mafk,Mafg
cluster_002	JASPAR_vertebrates_CORE_MA0842.3_n544,JASPAR_vertebrates_CORE_MA0117.3_n810,JASPAR_vertebrates_CORE_MA0495.4_n474,JASPAR_vertebrates_CORE_MA0142.1_n11,JASPAR_vertebrates_CORE_MA1962.1_n147,JASPAR_vertebrates_CORE_MA0787.1_n72,JASPAR_vertebrates_CORE_MA0788.1_n73,JASPAR_vertebrates_CORE_MA0507.3_n566,JASPAR_vertebrates_CORE_MA0784.3_n564,JASPAR_vertebrates_CORE_MA1115.2_n572,JASPAR_vertebrates_CORE_MA0786.2_n568,JASPAR_vertebrates_CORE_MA0627.3_n567,JASPAR_vertebrates_CORE_MA0789.1_n74,JASPAR_vertebrates_CORE_MA0785.2_n565,JASPAR_vertebrates_CORE_MA0792.1_n75	NRL,Mafb,MAFF,Pou5f1::Sox2,POU2F1::SOX2,POU3F2,POU3F3,POU2F2,POU1F1,POU5F1,POU3F1,POU2F3,POU3F4,POU2F1,POU5F1B
cluster_003	JASPAR_vertebrates_CORE_MA1712.2_n720,JASPAR_vertebrates_CORE_MA1643.2_n508,JASPAR_vertebrates_CORE_MA1527.2_n510,JASPAR_vertebrates_CORE_MA0119.1_n9,JASPAR_vertebrates_CORE_MA1528.2_n513	ZNF454,NFIB,NFIC,NFIC::TLX1,NFIX
cluster_004	JASPAR_vertebrates_CORE_MA1645.2_n519,JASPAR_vertebrates_CORE_MA0063.3_n522,JASPAR_vertebrates_CORE_MA1523.2_n493,JASPAR_vertebrates_CORE_MA1994.2_n822,JASPAR_vertebrates_CORE_MA0672.2_n520,JASPAR_vertebrates_CORE_MA0673.2_n523,JASPAR_vertebrates_CORE_MA2003.2_n521,JASPAR_vertebrates_CORE_MA0124.3_n823,JASPAR_vertebrates_CORE_MA0914.2_n446,JASPAR_vertebrates_CORE_MA0014.4_n283,JASPAR_vertebrates_CORE_MA1995.2_n827,JASPAR_vertebrates_CORE_MA0822.1_n90,JASPAR_vertebrates_CORE_MA1108.3_n496,JASPAR_vertebrates_CORE_MA0819.3_n239,JASPAR_vertebrates_CORE_MA0004.1_n1,JASPAR_vertebrates_CORE_MA0058.4_n301,JASPAR_vertebrates_CORE_MA0622.2_n813,JASPAR_vertebrates_CORE_MA0825.2_n491,JASPAR_vertebrates_CORE_MA1106.2_n404,JASPAR_vertebrates_CORE_MA0006.2_n755,JASPAR_vertebrates_CORE_MA0259.2_n172,JASPAR_vertebrates_CORE_MA2325.1_n191,JASPAR_vertebrates_CORE_MA0632.3_n641,JASPAR_vertebrates_CORE_MA0104.5_n498,JASPAR_vertebrates_CORE_MA0147.4_n477,JASPAR_vertebrates_CORE_MA0626.2_n826,JASPAR_vertebrates_CORE_MA0464.3_n229,JASPAR_vertebrates_CORE_MA1560.2_n611,JASPAR_vertebrates_CORE_MA0059.2_n476,JASPAR_vertebrates_CORE_MA1493.1_n123,JASPAR_vertebrates_CORE_MA0821.2_n160,JASPAR_vertebrates_CORE_MA0823.1_n91,JASPAR_vertebrates_CORE_MA0608.1_n25,JASPAR_vertebrates_CORE_MA0616.3_n400,JASPAR_vertebrates_CORE_MA0649.2_n402,JASPAR_vertebrates_CORE_MA1099.3_n399,JASPAR_vertebrates_CORE_MA0664.2_n490,JASPAR_vertebrates_CORE_MA0692.2_n656,JASPAR_vertebrates_CORE_MA0871.3_n657,JASPAR_vertebrates_CORE_MA0603.2_n761,JASPAR_vertebrates_CORE_MA1464.2_n207,JASPAR_vertebrates_CORE_MA0093.4_n668,JASPAR_vertebrates_CORE_MA0829.3_n626,JASPAR_vertebrates_CORE_MA0663.1_n37,JASPAR_vertebrates_CORE_MA0828.3_n287,JASPAR_vertebrates_CORE_MA0620.4_n488,JASPAR_vertebrates_CORE_MA0636.1_n28,JASPAR_vertebrates_CORE_MA0526.5_n669,JASPAR_vertebrates_CORE_MA0831.3_n161	NKX2-2,NKX2-5,MSANTD3,Nkx2-1,NKX2-3,NKX2-8,NKX2-4,Nkx3-1,ISL2,PAX5,Npas4,HES7,MXI1,CLOCK,Arnt,MAX,Mlxip,MNT,HIF1A,Ahr::Arnt,ARNT::HIF1A,EPAS1,TCFL5,MYCN,MYC,Npas2,BHLHE40,SOHLH2,MAX::MYC,HES6,HES5,HEY1,Creb3l2,HES2,HEY2,HES1,MLXIPL,TFEB,TFEC,Arntl,ARNT2,USF1,SREBF1,MLX,SREBF2,MITF,BHLHE41,USF2,TFE3
cluster_005	JASPAR_vertebrates_CORE_MA0799.3_n592,JASPAR_vertebrates_CORE_MA1554.2_n594,JASPAR_vertebrates_CORE_MA1724.2_n848,JASPAR_vertebrates_CORE_MA2334.1_n200,JASPAR_vertebrates_CORE_MA0509.3_n152,JASPAR_vertebrates_CORE_MA0798.3_n158,JASPAR_vertebrates_CORE_MA0510.3_n593,JASPAR_vertebrates_CORE_MA0600.3_n591	RFX4,RFX7,Rfx6,ZNF547,RFX1,RFX3,RFX5,RFX2
cluster_006	JASPAR_vertebrates_CORE_MA0041.3_n362,JASPAR_vertebrates_CORE_MA0847.4_n361,JASPAR_vertebrates_CORE_MA1487.3_n363,JASPAR_vertebrates_CORE_MA1607.2_n787,JASPAR_vertebrates_CORE_MA0846.2_n359,JASPAR_vertebrates_CORE_MA0032.2_n96,JASPAR_vertebrates_CORE_MA0845.1_n95,JASPAR_vertebrates_CORE_MA0635.2_n219,JASPAR_vertebrates_CORE_MA0877.4_n218,JASPAR_vertebrates_CORE_MA0040.2_n175,JASPAR_vertebrates_CORE_MA0047.4_n357,JASPAR_vertebrates_CORE_MA2118.1_n186,JASPAR_vertebrates_CORE_MA0850.1_n99,JASPAR_vertebrates_CORE_MA0848.1_n97,JASPAR_vertebrates_CORE_MA0849.1_n98,JASPAR_vertebrates_CORE_MA0031.2_n360,JASPAR_vertebrates_CORE_MA0480.3_n782,JASPAR_vertebrates_CORE_MA0157.4_n788,JASPAR_vertebrates_CORE_MA0852.3_n368,JASPAR_vertebrates_CORE_MA0042.2_n30,JASPAR_vertebrates_CORE_MA1103.3_n369,JASPAR_vertebrates_CORE_MA2117.1_n185,JASPAR_vertebrates_CORE_MA0481.4_n374,JASPAR_vertebrates_CORE_MA1683.2_n358,JASPAR_vertebrates_CORE_MA0033.2_n31,JASPAR_vertebrates_CORE_MA1606.2_n785,JASPAR_vertebrates_CORE_MA0851.2_n786,JASPAR_vertebrates_CORE_MA0030.2_n364,JASPAR_vertebrates_CORE_MA0593.2_n375,JASPAR_vertebrates_CORE_MA0148.5_n356,JASPAR_vertebrates_CORE_MA1489.1_n122,JASPAR_vertebrates_CORE_MA0613.1_n26,JASPAR_vertebrates_CORE_MA0614.1_n27,JASPAR_vertebrates_CORE_MA0651.3_n427,JASPAR_vertebrates_CORE_MA0873.2_n435,JASPAR_vertebrates_CORE_MA0906.2_n428,JASPAR_vertebrates_CORE_MA1506.2_n433,JASPAR_vertebrates_CORE_MA0907.2_n429,JASPAR_vertebrates_CORE_MA0905.2_n426,JASPAR_vertebrates_CORE_MA0485.3_n432,JASPAR_vertebrates_CORE_MA1503.2_n425,JASPAR_vertebrates_CORE_MA0908.2_n434,JASPAR_vertebrates_CORE_MA0911.2_n800,JASPAR_vertebrates_CORE_MA0909.4_n801,JASPAR_vertebrates_CORE_MA0465.3_n232,JASPAR_vertebrates_CORE_MA0650.4_n772,JASPAR_vertebrates_CORE_MA0901.3_n251,JASPAR_vertebrates_CORE_MA0878.3_n162,JASPAR_vertebrates_CORE_MA1473.2_n233,JASPAR_vertebrates_CORE_MA0899.2_n412,JASPAR_vertebrates_CORE_MA0913.3_n439	FOXD3,FOXD2,FOXE1,Foxl2,FOXC2,FOXC1,FOXB1,BARHL2,BARHL1,Foxq1,FOXA2,FOXS1,FOXP3,FOXO4,FOXO6,FOXD1,Foxo1,Foxo3,FOXK1,FOXI1,FOXK2,FOXP4,FOXP1,FOXA3,FOXL1,Foxf1,Foxj3,FOXF2,FOXP2,FOXA1,FOXN3,FOXG1,Foxj2,HOXC11,HOXD12,HOXC12,HOXD10,HOXC13,HOXC10,HOXC9,HOXB9,HOXD11,Hoxa11,Hoxd13,CDX2,Hoxa13,HOXB13,CDX1,CDX4,HOXA10,HOXD9
cluster_007	JASPAR_vertebrates_CORE_MA0866.1_n110,JASPAR_vertebrates_CORE_MA0870.1_n111,JASPAR_vertebrates_CORE_MA1561.2_n613,JASPAR_vertebrates_CORE_MA1603.2_n778,JASPAR_vertebrates_CORE_MA0442.3_n612,JASPAR_vertebrates_CORE_MA0869.3_n855,JASPAR_vertebrates_CORE_MA0084.2_n627,JASPAR_vertebrates_CORE_MA1152.2_n616,JASPAR_vertebrates_CORE_MA0143.5_n386,JASPAR_vertebrates_CORE_MA0514.3_n857,JASPAR_vertebrates_CORE_MA1120.2_n614,JASPAR_vertebrates_CORE_MA0867.3_n617,JASPAR_vertebrates_CORE_MA0868.3_n618,JASPAR_vertebrates_CORE_MA1563.2_n167,JASPAR_vertebrates_CORE_MA0077.2_n619,JASPAR_vertebrates_CORE_MA0087.3_n858,JASPAR_vertebrates_CORE_MA1562.2_n615,JASPAR_vertebrates_CORE_MA0515.1_n19,JASPAR_vertebrates_CORE_MA0078.3_n856,JASPAR_vertebrates_CORE_MA2095.1_n745	SOX21,Sox1,SOX12,Dmrt1,SOX10,Sox11,SRY,SOX15,SOX2,Sox3,SOX13,SOX4,SOX8,SOX18,SOX9,Sox5,SOX14,Sox6,Sox17,Sox7
cluster_008	JASPAR_vertebrates_CORE_MA0468.1_n18,JASPAR_vertebrates_CORE_MA0611.3_n779,JASPAR_vertebrates_CORE_MA0884.2_n163,JASPAR_vertebrates_CORE_MA0681.3_n560,JASPAR_vertebrates_CORE_MA0713.1_n50,JASPAR_vertebrates_CORE_MA0715.1_n51,JASPAR_vertebrates_CORE_MA0897.2_n797,JASPAR_vertebrates_CORE_MA0122.4_n824,JASPAR_vertebrates_CORE_MA0724.1_n52,JASPAR_vertebrates_CORE_MA0896.2_n796,JASPAR_vertebrates_CORE_MA0898.2_n798,JASPAR_vertebrates_CORE_MA0883.2_n777,JASPAR_vertebrates_CORE_MA1480.2_n260,JASPAR_vertebrates_CORE_MA0719.2_n595,JASPAR_vertebrates_CORE_MA0714.2_n561,JASPAR_vertebrates_CORE_MA0467.3_n771,JASPAR_vertebrates_CORE_MA0682.3_n367,JASPAR_vertebrates_CORE_MA0711.2_n549,JASPAR_vertebrates_CORE_MA0648.2_n393,JASPAR_vertebrates_CORE_MA0891.2_n394,JASPAR_vertebrates_CORE_MA0712.3_n550,JASPAR_vertebrates_CORE_MA1547.2_n166,JASPAR_vertebrates_CORE_MA0502.3_n516,JASPAR_vertebrates_CORE_MA2339.1_n753,JASPAR_vertebrates_CORE_MA0060.4_n515,JASPAR_vertebrates_CORE_MA1644.2_n517,JASPAR_vertebrates_CORE_MA1518.3_n806,JASPAR_vertebrates_CORE_MA0853.2_n757,JASPAR_vertebrates_CORE_MA0874.2_n762,JASPAR_vertebrates_CORE_MA1608.2_n804,JASPAR_vertebrates_CORE_MA1963.2_n601,JASPAR_vertebrates_CORE_MA1499.2_n420,JASPAR_vertebrates_CORE_MA1504.2_n430,JASPAR_vertebrates_CORE_MA1507.2_n437,JASPAR_vertebrates_CORE_MA0723.3_n671,JASPAR_vertebrates_CORE_MA0902.3_n417,JASPAR_vertebrates_CORE_MA0675.2_n525,JASPAR_vertebrates_CORE_MA0892.2_n395,JASPAR_vertebrates_CORE_MA0132.3_n559,JASPAR_vertebrates_CORE_MA0903.2_n419,JASPAR_vertebrates_CORE_MA0707.3_n492,JASPAR_vertebrates_CORE_MA0887.2_n327,JASPAR_vertebrates_CORE_MA0888.2_n328,JASPAR_vertebrates_CORE_MA0705.2_n809,JASPAR_vertebrates_CORE_MA0900.3_n325,JASPAR_vertebrates_CORE_MA0628.2_n573,JASPAR_vertebrates_CORE_MA0704.2_n808,JASPAR_vertebrates_CORE_MA0612.3_n291,JASPAR_vertebrates_CORE_MA0886.2_n292,JASPAR_vertebrates_CORE_MA1505.2_n431,JASPAR_vertebrates_CORE_MA0904.3_n421,JASPAR_vertebrates_CORE_MA1495.2_n280,JASPAR_vertebrates_CORE_MA1498.3_n415,JASPAR_vertebrates_CORE_MA0875.2_n220,JASPAR_vertebrates_CORE_MA0876.2_n231,JASPAR_vertebrates_CORE_MA0700.3_n464,JASPAR_vertebrates_CORE_MA0027.3_n293,JASPAR_vertebrates_CORE_MA1481.2_n261,JASPAR_vertebrates_CORE_MA0630.2_n604,JASPAR_vertebrates_CORE_MA0662.2_n489,JASPAR_vertebrates_CORE_MA0634.2_n204,JASPAR_vertebrates_CORE_MA0721.2_n667,JASPAR_vertebrates_CORE_MA0716.2_n581,JASPAR_vertebrates_CORE_MA0717.2_n587,JASPAR_vertebrates_CORE_MA1577.2_n663,JASPAR_vertebrates_CORE_MA0654.2_n447,JASPAR_vertebrates_CORE_MA0720.2_n851,JASPAR_vertebrates_CORE_MA0890.2_n384,JASPAR_vertebrates_CORE_MA0718.2_n586,JASPAR_vertebrates_CORE_MA0894.2_n401,JASPAR_vertebrates_CORE_MA0125.2_n825,JASPAR_vertebrates_CORE_MA0699.2_n463,JASPAR_vertebrates_CORE_MA0882.2_n255,JASPAR_vertebrates_CORE_MA0880.2_n774,JASPAR_vertebrates_CORE_MA0881.2_n775,JASPAR_vertebrates_CORE_MA0879.3_n254,JASPAR_vertebrates_CORE_MA0708.3_n495,JASPAR_vertebrates_CORE_MA0666.3_n494,JASPAR_vertebrates_CORE_MA0709.2_n815,JASPAR_vertebrates_CORE_MA0893.3_n396,JASPAR_vertebrates_CORE_MA1496.2_n413,JASPAR_vertebrates_CORE_MA1501.2_n423,JASPAR_vertebrates_CORE_MA1497.2_n414,JASPAR_vertebrates_CORE_MA1500.2_n422,JASPAR_vertebrates_CORE_MA0910.3_n438,JASPAR_vertebrates_CORE_MA1502.2_n424,JASPAR_vertebrates_CORE_MA0674.2_n524,JASPAR_vertebrates_CORE_MA0621.2_n171,JASPAR_vertebrates_CORE_MA0702.3_n468,JASPAR_vertebrates_CORE_MA0661.2_n485,JASPAR_vertebrates_CORE_MA2119.1_n187,JASPAR_vertebrates_CORE_MA0706.2_n486,JASPAR_vertebrates_CORE_MA2093.1_n176,JASPAR_vertebrates_CORE_MA0642.3_n294,JASPAR_vertebrates_CORE_MA0618.2_n462,JASPAR_vertebrates_CORE_MA1519.2_n465,JASPAR_vertebrates_CORE_MA0889.2_n383,JASPAR_vertebrates_CORE_MA0644.3_n308,JASPAR_vertebrates_CORE_MA0075.4_n582,JASPAR_vertebrates_CORE_MA0701.3_n467,JASPAR_vertebrates_CORE_MA0710.2_n527,JASPAR_vertebrates_CORE_MA0722.2_n670,JASPAR_vertebrates_CORE_MA0725.2_n673,JASPAR_vertebrates_CORE_MA0726.2_n674,JASPAR_vertebrates_CORE_MA0885.3_n773,JASPAR_vertebrates_CORE_MA1476.3_n776,JASPAR_vertebrates_CORE_MA0158.2_n139,JASPAR_vertebrates_CORE_MA0912.2_n140,JASPAR_vertebrates_CORE_MA0703.3_n469,JASPAR_vertebrates_CORE_MA0068.2_n43,JASPAR_vertebrates_CORE_MA0658.2_n466,JASPAR_vertebrates_CORE_MA0854.2_n756,JASPAR_vertebrates_CORE_MA1463.2_n206,JASPAR_vertebrates_CORE_MA0793.2_n575,JASPAR_vertebrates_CORE_MA1530.2_n526,JASPAR_vertebrates_CORE_MA1549.2_n574	DUX4,Dux,DUXA,PHOX2B,PHOX2A,PROP1,Hmx2,Nkx3-2,VENTX,Hmx1,Hmx3,Dmbx1,DPRX,RHOXF1,PITX3,Crx,PITX1,OTX1,GSC,GSC2,OTX2,PITX2,NFYB,Nanog,NFYA,NFYC,Lhx1,Alx4,Arx,Isl1,SATB1,HOXB4,HOXC4,HOXD4,VAX2,HOXB2,NKX6-2,GSX1,PDX1,HOXB3,MNX1,EVX1,EVX2,Lhx8,HOXA2,POU6F1,Lhx4,EMX1,EMX2,HOXC8,HOXB5,HOXA1,HOXA7,BARX1,BSX,LHX2,EN1,DRGX,SHOX,MIXL1,ALX3,UNCX,PRRX1,RAX2,TLX2,ISX,Shox2,GBX2,RAX,HESX1,Nobox,LBX2,DLX6,Dlx3,Dlx4,DLX1,MSX2,MSX1,Msx3,GSX2,HOXA4,HOXB7,HOXA6,HOXB6,HOXD8,HOXB8,NKX6-1,mix-a,LMX1A,MEOX1,HOXA3,MEOX2,HOXB1,EN2,LBX1,LHX5,GBX1,ESX1,PRRX2,LHX9,NOTO,VAX1,VSX1,VSX2,Dlx2,Dlx5,HOXA5,HOXD3,LMX1B,PAX4,LHX6,Alx1,ARGFX,POU6F2,NKX6-3,POU6F1
cluster_009	JASPAR_vertebrates_CORE_MA1470.2_n217,JASPAR_vertebrates_CORE_MA0794.1_n76,JASPAR_vertebrates_CORE_MA0615.2_n793,JASPAR_vertebrates_CORE_MA0862.1_n107,JASPAR_vertebrates_CORE_MA1474.2_n243,JASPAR_vertebrates_CORE_MA0839.2_n242,JASPAR_vertebrates_CORE_MA1466.2_n213,JASPAR_vertebrates_CORE_MA0638.2_n241,JASPAR_vertebrates_CORE_MA0844.2_n675,JASPAR_vertebrates_CORE_MA0595.1_n21,JASPAR_vertebrates_CORE_MA0596.1_n22,JASPAR_vertebrates_CORE_MA0018.5_n240,JASPAR_vertebrates_CORE_MA1951.2_n334,JASPAR_vertebrates_CORE_MA0492.2_n341,JASPAR_vertebrates_CORE_MA1133.2_n450,JASPAR_vertebrates_CORE_MA1127.1_n115,JASPAR_vertebrates_CORE_MA1140.3_n338,JASPAR_vertebrates_CORE_MA0488.2_n224,JASPAR_vertebrates_CORE_MA1632.2_n210,JASPAR_vertebrates_CORE_MA0609.3_n245,JASPAR_vertebrates_CORE_MA0656.2_n448,JASPAR_vertebrates_CORE_MA0840.2_n770,JASPAR_vertebrates_CORE_MA1126.2_n336,JASPAR_vertebrates_CORE_MA0605.3_n211,JASPAR_vertebrates_CORE_MA1131.2_n351,JASPAR_vertebrates_CORE_MA1145.2_n355,JASPAR_vertebrates_CORE_MA0834.2_n214,JASPAR_vertebrates_CORE_MA1136.1_n117,JASPAR_vertebrates_CORE_MA1129.1_n116,JASPAR_vertebrates_CORE_MA1139.2_n353,JASPAR_vertebrates_CORE_MA0604.1_n24,JASPAR_vertebrates_CORE_MA1143.2_n348,JASPAR_vertebrates_CORE_MA1475.2_n244	BACH2,PROX1,Gmeb1,GMEB2,CREB3L4,CREB3L1,ATF6,CREB3,XBP1,SREBF1,SREBF2,CREB1,FOS,JUND,JUN::JUNB,FOSB::JUN,JUNB,JUN,ATF2,CREM,JDP2,Creb5,FOS::JUN,ATF3,FOSL2::JUN,FOSL2::JUND,ATF7,FOSB::JUNB,FOSL1::JUN,FOSL2::JUNB,Atf1,FOSL1::JUND,CREB3L4
cluster_010	JASPAR_vertebrates_CORE_MA1943.2_n316,JASPAR_vertebrates_CORE_MA1932.2_n281,JASPAR_vertebrates_CORE_MA1937.2_n300,JASPAR_vertebrates_CORE_MA1958.2_n436,JASPAR_vertebrates_CORE_MA1948.2_n324,JASPAR_vertebrates_CORE_MA1940.2_n313,JASPAR_vertebrates_CORE_MA1944.2_n320,JASPAR_vertebrates_CORE_MA1957.1_n146,JASPAR_vertebrates_CORE_MA1931.1_n145,JASPAR_vertebrates_CORE_MA1949.2_n331,JASPAR_vertebrates_CORE_MA0641.1_n29,JASPAR_vertebrates_CORE_MA2340.1_n754,JASPAR_vertebrates_CORE_MA0762.2_n312,JASPAR_vertebrates_CORE_MA1484.2_n310,JASPAR_vertebrates_CORE_MA0098.4_n309,JASPAR_vertebrates_CORE_MA0475.3_n330,JASPAR_vertebrates_CORE_MA0763.2_n317,JASPAR_vertebrates_CORE_MA0156.4_n329,JASPAR_vertebrates_CORE_MA0760.2_n295,JASPAR_vertebrates_CORE_MA0764.4_n318,JASPAR_vertebrates_CORE_MA0765.4_n319,JASPAR_vertebrates_CORE_MA0028.3_n277,JASPAR_vertebrates_CORE_MA0759.3_n289,JASPAR_vertebrates_CORE_MA0686.2_n285,JASPAR_vertebrates_CORE_MA1483.3_n275,JASPAR_vertebrates_CORE_MA0136.4_n781,JASPAR_vertebrates_CORE_MA0761.3_n311,JASPAR_vertebrates_CORE_MA2332.1_n198,JASPAR_vertebrates_CORE_MA0062.4_n376,JASPAR_vertebrates_CORE_MA0474.4_n783,JASPAR_vertebrates_CORE_MA0598.4_n273,JASPAR_vertebrates_CORE_MA0640.3_n276,JASPAR_vertebrates_CORE_MA0473.4_n274,JASPAR_vertebrates_CORE_MA1992.2_n802,JASPAR_vertebrates_CORE_MA0645.2_n326,JASPAR_vertebrates_CORE_MA1708.2_n279,JASPAR_vertebrates_CORE_MA2329.1_n195,JASPAR_vertebrates_CORE_MA0076.3_n290,JASPAR_vertebrates_CORE_MA0750.3_n685,JASPAR_vertebrates_CORE_MA1709.2_n693,JASPAR_vertebrates_CORE_MA0687.2_n625,JASPAR_vertebrates_CORE_MA0080.7_n859,JASPAR_vertebrates_CORE_MA0081.3_n624,JASPAR_vertebrates_CORE_MA1508.2_n440,JASPAR_vertebrates_CORE_MA1947.2_n323,JASPAR_vertebrates_CORE_MA1935.2_n298,JASPAR_vertebrates_CORE_MA1942.2_n315,JASPAR_vertebrates_CORE_MA1952.2_n366,JASPAR_vertebrates_CORE_MA1950.2_n332,JASPAR_vertebrates_CORE_MA1954.2_n371,JASPAR_vertebrates_CORE_MA1955.2_n372,JASPAR_vertebrates_CORE_MA1953.2_n370,JASPAR_vertebrates_CORE_MA1956.2_n373,JASPAR_vertebrates_CORE_MA1936.2_n299,JASPAR_vertebrates_CORE_MA1946.2_n322	ETV2::HOXB13,ELK1::HOXB13,ERF::HOXB13,HOXD12::ELK1,ETV5::HOXA2,ETV2::DRGX,ETV5::DRGX,HOXB2::ELK1,ELK1::HOXA1,FLI1::DRGX,ELF4,Zbtb2,ETV2,ETS2,ETS1,FLI1,ETV3,FEV,ERF,ETV4,ETV5,ELK1,ELK3,SPDEF,ELF2,Elf5,ETV1,ZNF175,GABPA,Erg,EHF,ELF3,ELF1,Ikzf3,ETV6,ETV7,ZBTB11,ELK4,ZBTB7A,ZIM3,SPIC,Spi1,SPIB,IKZF1,ETV5::FOXO1,ERF::FOXI1,ETV2::FOXI1,FOXJ2::ELF1,FLI1::FOXI1,FOXO1::ELK1,FOXO1::ELK3,FOXO1::ELF1,FOXO1::FLI1,ERF::FOXO1,ETV5::FOXI1
